"rules","support","confidence","lift"
"40","{지역경제,대책회의,농림부} => {강화}",0.333333333333333,1,1.5
"44","{처리시설} => {매몰}",0.333333333333333,1,1.5
"45","{처리시설} => {강화}",0.333333333333333,1,1.5
"47","{축산물,한우고기} => {매몰}",0.333333333333333,1,1.5
"48","{축산물,한우고기} => {강화}",0.333333333333333,1,1.5
"62","{핏물} => {지원금}",0.333333333333333,1,1.5
"63","{핏물} => {방지}",0.333333333333333,1,1.5
"75","{지하수} => {지원금}",0.333333333333333,1,1.5
"76","{지하수} => {방지}",0.333333333333333,1,1.5
"86","{현장검증,매몰지} => {지원금}",0.333333333333333,1,1.5
"87","{현장검증,매몰지} => {방지}",0.333333333333333,1,1.5
"95","{안정세,공급량,소비량,구청} => {지원금}",0.333333333333333,1,1.5
"96","{안정세,공급량,소비량,구청} => {방지}",0.333333333333333,1,1.5
"102","{상황실,살포} => {지원금}",0.333333333333333,1,1.5
"103","{상황실,살포} => {방지}",0.333333333333333,1,1.5
"107","{사태수습} => {지원금}",0.333333333333333,1,1.5
"108","{사태수습} => {방지}",0.333333333333333,1,1.5
"110","{관리,지역갈등,침출수,축산폐수} => {지원금}",0.333333333333333,1,1.5
"111","{관리,지역갈등,침출수,축산폐수} => {방지}",0.333333333333333,1,1.5
"123","{지역갈등,오염도,핏물} => {매몰}",0.333333333333333,1,1.5
"124","{지역갈등,오염도,핏물} => {강화}",0.333333333333333,1,1.5
"125","{지역갈등,오염도,핏물} => {지원금}",0.333333333333333,1,1.5
"126","{지역갈등,오염도,핏물} => {방지}",0.333333333333333,1,1.5
"136","{시장} => {매몰}",0.333333333333333,1,1.5
"137","{시장} => {강화}",0.333333333333333,1,1.5
"138","{시장} => {지원금}",0.333333333333333,1,1.5
"139","{시장} => {방지}",0.333333333333333,1,1.5
"147","{상황실,대처,비상방역체제방역체제} => {매몰}",0.333333333333333,1,1.5
"148","{상황실,대처,비상방역체제방역체제} => {강화}",0.333333333333333,1,1.5
"149","{상황실,대처,비상방역체제방역체제} => {지원금}",0.333333333333333,1,1.5
"150","{상황실,대처,비상방역체제방역체제} => {방지}",0.333333333333333,1,1.5
"156","{살처분,현장검증,매몰지} => {매몰}",0.333333333333333,1,1.5
"157","{살처분,현장검증,매몰지} => {강화}",0.333333333333333,1,1.5
"158","{살처분,현장검증,매몰지} => {지원금}",0.333333333333333,1,1.5
"159","{살처분,현장검증,매몰지} => {방지}",0.333333333333333,1,1.5
"163","{대비책} => {매몰}",0.333333333333333,1,1.5
"164","{대비책} => {강화}",0.333333333333333,1,1.5
"165","{대비책} => {지원금}",0.333333333333333,1,1.5
"166","{대비책} => {방지}",0.333333333333333,1,1.5
"168","{관계장관} => {매몰}",0.333333333333333,1,1.5
"169","{관계장관} => {강화}",0.333333333333333,1,1.5
"170","{관계장관} => {지원금}",0.333333333333333,1,1.5
"171","{관계장관} => {방지}",0.333333333333333,1,1.5
"173","{매몰} => {강화}",0.666666666666667,1,1.5
"177","{지원금} => {방지}",0.666666666666667,1,1.5
"1","{} => {돼지고기}",1,1,1
